n_classes,dp_ms,dp_wall_ms,skimage_ms,skimage_wall_ms,dp_value,skimage_value,values_agree,speedup,dp_thresholds
2,3.3529999999999394,3.471375035587698,1.1900000000000244,1.2129999813623726,21305.665072836513,21305.665072836513,True,0.3549060542797632,102
3,4.877999999999938,5.187791015487164,2.19899999999984,2.2423749906010926,21844.491043948747,21844.491043948747,True,0.45079950799505286,87-176
4,4.931999999999936,5.712250014767051,73.62099999999994,289.03054201509804,21928.8655542879,21928.8655542879,True,14.92721005677228,69-134-180
5,6.38099999999997,6.899041007272899,5003.392000000001,19686.45745899994,21970.483899967643,21970.483899967643,True,784.1078200908986,46-100-145-182
6,6.566999999999545,6.997582968324423,269033.794,1243476.7307079746,21992.265079494144,21992.265079494144,True,40967.533729255156,19-55-107-147-182
7,6.830999999976939,6.908416980877519,,,22012.285840578134,,,,19-54-106-146-178-205
8,7.782000000020162,9.113375039305538,,,22028.49805886963,,,,18-46-90-130-153-180-206
